ID,Amount,Category,Description,Date
7,5000.0,Work,Macbook for coding,2025-05-28 16:35:39.826856
8,7670.0,Study,Macbook for college,2025-05-28 16:36:12.121928
9,7670.0,Work,PG Rent,2025-05-28 16:36:27.016374
10,7670.0,Study,School Fees,2025-05-28 16:36:51.098768
11,7670.0,Work,Water Bill,2025-05-28 16:38:48.881567
12,7670.0,Work,Water Bill for home,2025-05-28 16:39:01.839869
13,7670.0,Other,Water Bill for home,2025-05-28 16:41:07.580398
14,7670.0,Health,Medical Insurance,2025-05-28 16:41:39.810288
15,500.0,Other,Medical Insurance,2025-05-28 16:48:14.147825
16,760.0,Study,Education Loan Interest,2025-05-28 16:50:14.576810
